ERROR 2026-03-08 12:33:36,201 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:33:36,975 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:34:07,717 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:34:09,896 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:34:10,702 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:36:26,501 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:36:29,730 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:36:30,416 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:37:25,896 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:37:28,975 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:37:29,828 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:39:16,622 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:39:19,430 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:39:20,184 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:39:36,021 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:39:39,008 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:39:39,718 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:40:16,163 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:40:18,594 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:40:19,341 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:43:31,073 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:43:34,370 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:43:35,196 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:44:16,021 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:44:18,634 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:44:19,340 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:48:29,398 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:48:31,942 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:48:32,848 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
